Former firm,New firm,New job title,Team (IMP defined),Seniority (IMP defined)
PGIM Quantative Solutions,PGIM,"V.P., Head Of Operations",Operations,VP
PGIM Real Estate,Barings,Strategic Sustainability Advisor,Strategy,Advisor
PNC,Apollo Global Management,"Managing Director, Originations",Deal/investment team,Managing Director
Prosperity Life Insurance Group,Bain Capital,"Managing Director, Insurance Team",Deal/investment team,Managing Director
Providence Equity,Partners Group,Managing Director,Deal/investment team,Managing Director
PSP Investments,Brookfield,"Head of Strategy, Credit",Strategy,Senior Managing Director
SCWM Capital LLC,Golub Capital,Managing Director,IR (non-capital raising),Managing Director
Signify,EQT,Advisor,Technology,Advisor
Sixth Street Partners,Ares Management Corporation,Managing Director,Deal/investment team,Managing Director
Soros Fund Management,Apollo Global Management,Managing Director,IR (capital raising),Managing Director
Standard Investments,Blackstone,"Senior Managing Director, Private Equity, Chief Operating Officer",Operations,Senior Managing Director
State Street Global Advisors,Blue Owl Capital,Head of Defined Contribution Retirement Solutions,Deal/investment team,Senior Managing Director
Sumitomo Mitsui Banking Corporation,Ares Management Corporation,Managing Director,Deal/investment team,Managing Director
The Carlyle Group,Permira,Managing Director,IR (capital raising),Managing Director
The Carlyle Group,Blue Owl Capital,Managing Director,Deal/investment team,Managing Director
TPG,Apollo Global Management,Operating Partner,Strategy,Partner
Treville Capital Group,KKR,Managing Director,Deal/investment team,Managing Director
Trilantic North America,Apollo Global Management,"Managing Director, Hybrid Equity",Deal/investment team,Managing Director
True Wind Capital,TPG,Partner,Business development,Partner
Värde Partners,Blackstone,Managing Director,IR (capital raising),Managing Director
Visteon Corporation,EQT,Advisor,Strategy,Senior Managing Director
WebPT,Warburg Pincus LLC,"Managing Director, Value Creation Team",Operations,Managing Director
WEX,"Oaktree Capital Management, L.P.","Managing Director, Head of Product Management",IR (non-capital raising),Managing Director
X,TPG,Senior Advisor,Strategy,Advisor
Other,Brookfield,Head of Investments Data & Analytics Engineering,Quant/data science,Senior Managing Director
Other,TPG,Operating Partner/Managing Director,Portfolio operations,Managing Director
