Name,Former firm,New firm,New job title,Team (IMP defined),Seniority (IMP defined)
Miriam Wolf,Wells Fargo,Blackstone,Head of Social Media,Marketing,Senior Managing Director
Paul Marriott,SAP,TPG,Advisor,Strategy,Advisor
Peter Oppitzhauser,AlixPartners,TPG,Partner,Investment team,Senior Managing Director
Rich Williams,Hines,Blackstone,"Managing Director, Private Wealth",Business development,Managing Director
Ryan Harpster,Blackstone,Blue Owl Capital,"Managing Director, Strategic Equity",Investment team,Managing Director
Sachin Rajan,Russell Reynolds Associates,KKR,Executive Advisor,Strategy,Advisor
Sebastian Cave,Heitman,Barings,"Managing Director, Country Head Germany",Investment team,Managing Director
Steve Pace,Thoma Bravo,Blackstone,GTM Operating Advisor,Strategy,Advisor
Tarun Mehta,Truist,The Carlyle Group,Managing Director Asset Backed Finance,Strategy,Managing Director
Tim Vincent,BlackRock,Barings,Managing Director,Investment team,Managing Director
Todd Myers,Blackstone,Blue Owl Capital,President of Global Private Wealth,Business development,Senior Managing Director
W. Max Mullen,KKR,Blue Owl Capital,Managing Director,Investment team,Managing Director
Yee Ling Liew,OCTAVE Capital,"Apollo Global Management, Inc.",Managing Director - Apollo Portfolio Performance Solutions,Ops,Managing Director
Michael Lascher,Blackstone,Blue Owl Capital,Senior Managing Director and Head of Real Assets Capital Markets and Asset Management,Capital markets,Senior Managing Director
Benjamin Port,Baird,Perella Weinberg Partners,Partner,Allocation,Partner
Benny Stover,USA Health,TidalHealth,Chief Financial Officer,Allocation,C-level
Chantale Pelletier,Fidelity International,Healthcare of Ontario Pension Plan,Senior Managing Director - Head of Global Infrastructure,Allocation,Senior Managing Director
Courtney Holt,Compound,Aprio Wealth Management,Chief Compliance Officer,Allocation,C-level
Dina Powell,BDT & MSD Partners,Meta,President and Vice Chairman,Allocation,Advisor
Evan Weiss,Newark Alliance,New Jersey Economic Development Authority,Chief Executive Officer,Allocation,C-level
James Lindsay,Natixis Investment Managers,"Oaktree Capital Management, L.P.",Managing Director - Capital Formation EMEA,Business development,Managing Director
Ivanka Mamic,bp,Rolls-Royce Pension Fund,Global Head of Government Relations & Chief Sustainability Officer,Allocation,Senior Managing Director
Julien Mejane,Chambre régionale des comptes Centre-Val de Loire,Etablissement de Retraite Additionnelle de la Fonction Publique,"Deputy Director, Administrative and Operations Director",Allocation,Director/Principal
Karim Chowdhury,Union Bancaire Privée,Nedbank,Head of Private Banking for the Isle of Man,Allocation,Senior Managing Director
Maria Khoury,Danaher Corporation,Marathon Petroleum Corporation,Executive Vice President and Chief Financial Officer,Allocation,C-level
Mark Cuccinello,JPMorgan Chase,Truist Financial Corporation,Managing Director and Head of Structured Credit,Allocation,Managing Director
Matthew Hopson,London Borough of Islington Pension Fund,London Pensions Fund Authority,Director of Finance and Corporate Resources,Allocation,Director/Principal
Priyanka Dhingra,UWC South East Asia,Farro Capital,Head of Impact and Sustainable Finance,Allocation,Senior Managing Director
Sai Cherla,BMO,New York Life Insurance Company,"Senior Vice President and Chief Operating Officer – Technology, Data, AI and Ventures",Allocation,C-level
James Greenwood,Permira Credit,"Oaktree Capital Management, L.P.",Senior Advisor,Strategy,Advisor
Mary Zappone,Sundyne,Warburg Pincus LLC,Senior Advisor,Investment team,Advisor
Anthony Hermann,ATLAS SP Partners,"Apollo Global Management, Inc.","Partner, Head of ABF Australia & Australia Country Coordinator, Apollo Global Management, Inc.",Investment team,Partner
Adam Oliner,You.com,Blackstone,"Managing Director, Technology/AI",Tech,Managing Director
Bill Davis,Pure Data Centres Group,Ares Management Corporation,"Partner and Chief Investment Officer, Digital Infrastructure",Investment team,C-level
David Coppé,A1 Sewer and Drain,KKR,Executive Advisor,Strategy,Advisor
David J. Schalleur,KKR & Global Atlantic,Brookfield,"Managing Director, Head of National Accounts & Business Development",Business development,Managing Director
Jamie Sutherland,UBS,"Apollo Global Management, Inc.","Managing Director, New Markets",Business development,Managing Director
Lucio Solms-Lich,Morgan Stanley,Blackstone,"Managing Director, Institutional Client Solutions Group",Business development,Managing Director
Luke Schlafly,PineBridge Investments,ICG,Global Head of Insurance,Investment team,Senior Managing Director
Niyamat Fazal,DWS Infrastructure,DWS Group,Partner DWS Infrastructure Equity,Investment team,Partner
Oliver Resovac,Deutsche Bank,DWS Group,"Managing Director, Private Credit / Asset Based Lending",Investment team,Managing Director
Thomas Bamberger,SAP,Blackstone,Senior Advisor,Strategy,Advisor
Zacharias Karlsen,Infranode,ICG,Managing Director,Investment team,Managing Director
Alexander Wall,BNP Paribas,Golub Capital,"Managing Director, Securitization Capital Markets",Investment team,Managing Director
Noelle Campbell,Electronic Arts (EA),Ares Management Corporation,Managing Director - Corporate Strategy,Strategy,Managing Director
Anthony Rini,Northeastern University,University of Connecticut Foundation,Chief Financial Officer,Allocation,C-level
Ananth Prabhu,Howden,Marsh & McLennan Companies,Chief Growth and Strategy Officer,Allocation,C-level
Andrew Alley,Canada Pension Plan Investment Board,Public Sector Pension Investment Board,Managing Director and Global Head of Infrastructure Investments,Allocation,Managing Director
Brandi Williams Broome,American Diabetes Association,V Foundation,Chief Executive Officer,Allocation,C-level
Danny Firth,Tesco Pension Investment,London CIV,Chief Operating Officer,Allocation,C-level
Del Hart,New Zealand Superannuation Fund,Mercer (N.Z.),Chief Investment Officer,Allocation,C-level
Douglas Flint,HSBC,Prudential,Non-Executive Director and Chair-designate,Allocation,Advisor
Fergus Horrobin,UBS,JPMorgan Chase,Head of International Real Estate Investment Banking,Allocation,Senior Managing Director
Florian Marini,Bruellan Group,Syz Group,Head of Equities,Allocation,Senior Managing Director
Gary Finkelstein,Steele Consulting,MUFG,"Managing Director, Global Financial Solutions, EMEA",Allocation,Managing Director
Gerald Moser,LGT Private Banking,EFG International,Chief Investment Officer,Allocation,C-level
Amar Doshi,ResiXperts,"Apollo Global Management, Inc.","Managing Director, Portfolio Value Creation & Operations",Portfolio operations,Managing Director
Chirag Goyanka,Arjun Infrastructure Partners,KKR,"Managing Director, Fundraising North America",Business development,Managing Director
Ken Watson,Stockperks,Warburg Pincus LLC,"Senior Advisor, AI",Tech,Advisor
Kacie Overlander,HPS Investment Partners | BlackRock,"Oaktree Capital Management, L.P.","Managing Director, Sourcing & Origination",Investment team,Managing Director
Alex Tolstykh,Goldman Sachs,Brookfield,"Head of Origination, SouthEast Portfolio Manager",Investment team,Senior Managing Director
Dan Crowley,PwC,Blackstone,Managing Director,Accounting,Managing Director
Lauren Buxbaum,BNY Mellon,Blue Owl Capital,Head of Talent Development,Strategy,Senior Managing Director
Soraya Kazziha,Alcyra,Blue Owl Capital,Managing Director,Business development,Managing Director
Ines Ingabire,Tribe Impact Capital,Cazenove Capital Management,Portfolio Director,Allocation,Director/Principal
Joe Fernandes,Australian Unity,Future Group,Chief Investment Officer and Executive Director,Allocation,C-level
Ken Sharp,Peraton,L3Harris Technologies,Chief Financial Officer,Allocation,C-level
Leanne Taylor,Victorian Funds Management Corporation (VFMC),Mason Stevens,Chief Investment Officer,Allocation,C-level
Mattias Sundbom,Lynx Asset Management,AP-Fonden 3,Head of Portfolio Strategy and Sustainability,Allocation,Senior Managing Director
Mike Mitchell,Merit Financial Advisors,Americana Partners,Chief Financial Officer,Allocation,C-level
Scott Kreuzer,Aspen Insurance Group,PartnerRe,Chief Executive Officer of P&C Americas,Allocation,C-level
Patrick Enriquez,Brookfield Asset Management,EQT Group,Managing Director,Investment team,Managing Director
XINYI F,Goldman Sachs,Bain Capital,Managing Director,Investment team,Managing Director
Michael Horowitz,Brookfield Asset Management,Bain Capital,Partner,Investment team,Partner
Daisy Tan,"Apollo Global Management, Inc.",Ares Management Corporation,Head of Client Services and Product Management Asia,IR (non-capital raising),Senior Managing Director
RJ Madden,KKR,The Carlyle Group,Deputy Head of Asset-Backed Finance,Investment team,Senior Managing Director
Stefan Strein,Cleveland Clinic Foundation,University of North Carolina at Chapel Hill,"Chief Executive Officer, and Chief Investment Officer",Allocation,C-level
Nicholas Foreman,Woolworths Group,TPG,Senior Advisor - Operations,Ops,Advisor
Kenneth Daniel Tan,Varian,TPG,Senior Advisor,Strategy,Advisor
Owen Lewis,Fox May Consulting Limited,ICG,Head of Credit & CLO Operations,Ops,Senior Managing Director
Clark Koury,"Oaktree Capital Management, L.P.",The Carlyle Group,Managing Director,IR (non-capital raising),Managing Director
Eli Appelbaum,Ares Management Corporation,Macquarie Asset Management,"Senior Managing Director, Head of EMEA Lending and Asset Finance",Capital markets,Senior Managing Director
Jonathon Bond,Grosvenor,ICG,"Non Executive Director, Board member",Strategy,Advisor
William Jackson,Bridgepoint Group,IFM Investors,Board member,Strategy,Advisor
Pradeep Kaliannan,EY,Blackstone,Managing Director - Head of Legal & Compliance Operations,Legal,Managing Director
Jonathan Gear,Clarivate,KKR,Executive Advisor,Strategy,Advisor
